repo,dependencyFile,url,http://org.softlang.com/Folder,http://org.softlang.com/File,http://org.softlang.com/groupId,http://org.softlang.com/artifactId,http://org.softlang.com/relativePath,http://org.softlang.com/Pom,http://org.softlang.com/MavenDependency,http://org.softlang.com/Property,http://org.softlang.com/ParentBlock,http://org.softlang.com/ParentPom,http://org.softlang.com/resolvable
alibaba/jstorm,https://github.com/alibaba/jstorm,https://github.com/alibaba/jstorm/blob/5d6cde22dbca7df3d6e6830bf94f98a6639ab559/jstorm-hbase-metrics-plugin/pom.xml,554,2081,160,160,15,21,143,37,17,3,515
OpenFeign/feign,https://github.com/OpenFeign/feign,https://github.com/OpenFeign/feign/blob/8aa32c2c1460ff5f355fddb7123401e8ade831f6/benchmark/pom.xml,213,237,141,141,NaN,21,121,63,20,1,416
openhab/openhab1-addons,https://github.com/openhab/openhab1-addons,https://github.com/openhab/openhab1-addons/blob/3c2fd29ef3d6b8aba22272cec8bfaa8f674a3e52/pom.xml,3624,6727,494,494,3,259,235,17,259,8,1241
sohutv/cachecloud,https://github.com/sohutv/cachecloud,https://github.com/sohutv/cachecloud/blob/7e9b5482385597f66e694c227713dbc80f1ff5a3/cachecloud-open-client/cachecloud-jedis/pom.xml,302,1272,82,82,NaN,8,75,41,7,2,249
flyway/flyway,https://github.com/flyway/flyway,https://github.com/flyway/flyway/blob/54bba235e05adbaecda590b49fd2c8a045a092f6/flyway-core/pom.xml,114,402,75,75,NaN,5,71,20,4,1,215
luontola/retrolambda,https://github.com/luontola/retrolambda,https://github.com/luontola/retrolambda/blob/1f26f13c98cd57ecc56a5f8afa4c56e7b98bfa18/end-to-end-tests/pom.xml,79,163,35,35,6,6,29,8,6,1,103
hibernate/hibernate-orm,https://github.com/hibernate/hibernate-orm,https://github.com/hibernate/hibernate-orm/blob/e5dc635a52362f69b69acb8d5b166b69b165dbbd/documentation/src/main/asciidoc/quickstart/tutorials/annotations/pom.xml,2382,11071,28,28,5,9,23,6,5,1,90
rest-assured/rest-assured,https://github.com/rest-assured/rest-assured,https://github.com/rest-assured/rest-assured/blob/192d0b190f0e3a1834e6b5c4f252f0b624b962e7/pom.xml,329,631,195,195,NaN,27,168,41,27,4,553
johncarl81/parceler,https://github.com/johncarl81/parceler,https://github.com/johncarl81/parceler/blob/6331d281b6ba5f3ed28af865910a8351b28022db/examples/app/pom.xml,85,220,36,36,7,8,28,NaN,8,2,107
kevin-wayne/algs4,https://github.com/kevin-wayne/algs4,https://github.com/kevin-wayne/algs4/blob/880a5567464fa9312592d2ea815ea9146692d28f/pom.xml,8,204,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN
socketio/socket.io-client-java,https://github.com/socketio/socket.io-client-java,https://github.com/socketio/socket.io-client-java/blob/964a66fc1c57042a37301ec426ffef266bfc0f56/pom.xml,21,42,6,6,NaN,1,5,1,1,NaN,18
Atmosphere/atmosphere,https://github.com/Atmosphere/atmosphere,https://github.com/Atmosphere/atmosphere/blob/9ac1f9f373ed2c59e179f1623e316599814a4eff/modules/shiro/pom.xml,76,375,24,24,4,8,16,1,8,1,69
TommyLemon/APIJSON,https://github.com/TommyLemon/APIJSON,https://github.com/TommyLemon/APIJSON/blob/ca2f23088e437d1ac0d4421550ee9d143c218710/APIJSON-Java-Server/APIJSONDemo/pom.xml,232,685,14,14,2,3,12,9,2,NaN,45
bauerca/drag-sort-listview,https://github.com/bauerca/drag-sort-listview,https://github.com/bauerca/drag-sort-listview/blob/c3cfccee21676149dfdf8e803c0ec2eaebc6b841/demo/pom.xml,27,88,9,9,2,3,7,3,2,1,26
mrniko/netty-socketio,https://github.com/mrniko/netty-socketio,https://github.com/mrniko/netty-socketio/blob/0dea55bdc76fa8ad68630b89e7631127a6f9a168/pom.xml,26,119,16,16,NaN,1,16,2,NaN,NaN,50
yasserg/crawler4j,https://github.com/yasserg/crawler4j,https://github.com/yasserg/crawler4j/blob/7f21f9134057b90672cc2c3bd9101b374dce2a97/crawler4j-examples/crawler4j-examples-base/pom.xml,77,100,37,37,3,4,34,16,3,1,127
rabbitmq/rabbitmq-tutorials,https://github.com/rabbitmq/rabbitmq-tutorials,https://github.com/rabbitmq/rabbitmq-tutorials/blob/949d94ba475bc98736313632ac954461f2b05e36/java-mvn/pom.xml,170,545,7,7,1,4,6,9,1,NaN,28
stephanenicolas/robospice,https://github.com/stephanenicolas/robospice,https://github.com/stephanenicolas/robospice/blob/8bffde88b3534a961a13cab72a8f07a755f0a0fe/extensions/robospice-google-http-client-parent/pom.xml,365,439,160,160,7,28,132,44,28,10,418
